state_code,district,party,name,gender,ethnicity,religion,date_of_birth,entered_office
CA,47,democrat,Alan Lowenthal,male,white-american,jewish,1941-03-08,2013-01-03
CA,49,democrat,Mike Levin,male,white-american,unspecified,1978-10-20,2019-01-03
CA,48,democrat,Harley Rouda,male,white-american,unspecified,1961-12-10,2019-01-03
CA,50,republican,Duncan Hunter,male,white-american,southern-baptist,1976-12-07,2009-01-06
CA,51,democrat,Juan Vargas,male,hispanic-american,roman-catholic,1961-03-07,2013-01-03
CA,52,democrat,Scott Peters,male,white-american,lutheran,1958-06-17,2013-01-03
CA,53,democrat,Susan Davis,female,white-american,jewish,1944-04-13,2001-01-03
CO,1,democrat,Diana DeGette,female,white-american,presbyterian,1957-07-29,1997-01-07
CO,2,democrat,Joe Neguse,male,white-american,unspecified,1984-05-13,2019-01-03
CO,3,republican,Scott Tipton,male,white-american,anglican,1956-11-09,2011-01-05
CO,4,republican,Ken Buck,male,white-american,christian,1959-02-16,2015-01-06
CO,5,republican,Doug Lamborn,male,white-american,christian,1954-05-24,2007-01-04
CT,1,democrat,John Larson,male,white-american,roman-catholic,1948-07-22,1999-01-06
CO,6,democrat,Jason Crow,male,white-american,unspecified,1979-03-15,2019-01-03
CO,7,democrat,Ed Perlmutter,male,white-american,methodist,1953-05-01,2007-01-04
CT,2,democrat,Joe Courtney,male,white-american,roman-catholic,1953-04-06,2007-01-04
CT,4,democrat,Jim Himes,male,white-american,presbyterian,1966-07-05,2009-01-06
CT,3,democrat,Rosa DeLauro,female,white-american,roman-catholic,1943-03-02,1991-01-03
CT,5,democrat,Jahana Hayes,female,african-american,unspecified,1973-03-08,2019-01-03
DE,,democrat,Lisa Blunt Rochester,female,african-american,unspecified,1962-02-10,2017-01-03
FL,1,republican,Matt Gaetz,male,white-american,baptist,1982-05-07,2017-01-03
FL,2,republican,Neal Dunn,male,white-american,unspecified,1953-02-16,2017-01-03
FL,3,republican,Ted Yoho,male,white-american,christian,1955-04-13,2013-01-03
FL,4,republican,John Rutherford,male,white-american,roman-catholic,1952-09-02,2017-01-03
FL,5,democrat,Al Lawson,male,african-american,episcopalian,1948-09-21,2017-01-03
FL,6,republican,Michael Waltz,male,white-american,unspecified,1974-01-31,2019-01-03
FL,7,democrat,Stephanie Murphy,female,asian-american,unspecified,1978-09-16,2017-01-03
FL,8,republican,Bill Posey,male,white-american,methodist,1947-12-18,2009-01-06
FL,9,democrat,Darren Soto,male,hispanic-american,roman-catholic,1978-02-25,2017-01-03
